Clutch,Mort,Treat
15,0,0
16,0,0
12,0,0
7,0,0
13,0,0
14,4,0
10,0,0
18,0,0
9,0,0
1,0,0
3,0,0
25,2,0
11,0,0
5,0,0
20,0,0
16,0,0
7,0,0
15,0,0
12,0,0
14,4,0
10,0,0
21,0,0
18,0,0
9,3,0
1,0,0
1,0,0
1,0,0
3,0,0
25,2,0
11,0,0
5,0,0
20,3,0
2,0,0
13,0,0
13,2,0
8,0,0
25,3,0
20,0,0
15,0,0
1,0,0
1,0,0
5,0,0
14,4,0
7,0,0
3,2,0
17,0,0
1,0,0
6,0,0
10,0,0
1,0,0
4,0,0
18,0,0
1,0,0
15,8,1
8,3,1
16,3,1
16,1,1
16,3,1
12,8,1
12,0,1
13,2,1
14,4,1
18,4,1
19,18,1
1,1,1
3,3,1
1,1,1
2,2,1
26,14,1
17,3,1
6,3,1
5,3,1
20,8,1
21,6,1
9,0,1
14,4,1
24,8,1
21,5,1
6,3,1
17,3,1
26,12,1
2,2,1
3,3,1
1,1,1
1,1,1
1,1,1
19,11,1
18,4,1
13,2,1
12,2,1
16,9,1
8,3,1
15,8,1
1,1,1
1,1,1
1,1,1
1,1,1
1,0,1
1,1,1
8,3,1
4,4,1
15,9,1
21,6,1
16,6,1
1,1,1
1,0,1
1,1,1
1,1,1
3,3,1
2,0,1
12,4,1
14,4,1
5,4,1
19,8,1
17,3,1
20,0,1
25,6,1
7,5,1
18,4,1
11,0,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
22,5,1
2,2,1
