"country","africa","rugged","GDP"
"Angola",1,0.858,1794.729
"Albania",0,3.427,3703.113
"United Arab Emirates",0,0.769,20604.46
"Argentina",0,0.775,12173.68
"Armenia",0,2.688,2421.985
"Antigua and Barbuda",0,0.006,10022.03
"Australia",0,0.143,25417.44
"Austria",0,3.513,28987.84
"Azerbaijan",0,1.672,2570.944
"Burundi",1,1.78,621.652
"Belgium",0,0.388,27302.99
"Benin",1,0.141,959.222
"Burkina Faso",1,0.236,998.416
"Bangladesh",0,0.186,1479.086
"Bulgaria",0,1.479,5979.171
"Bahrain",0,0.231,15928.09
"Bahamas",0,0.055,16977.2
"Bosnia and Herzegovina",0,2.311,5294.975
"Belarus",0,0.164,4802.11
"Belize",0,0.607,5869.233
"Bolivia",0,0.853,2398.855
"Brazil",0,0.24,7300.865
"Barbados",0,0.963,15290.579
"Botswana",1,0.181,7702.508
"Central African Republic",1,0.197,1148.051
"Canada",0,0.775,27289.26
"Switzerland",0,4.761,30161.29
"Chile",0,2.481,9115.475
"China",0,1.878,3928.315
"Cote d'Ivoire",1,0.224,1575.628
"Cameroon",1,0.515,1882.687
"Democratic Republic of the Congo",1,0.443,668.663
"Congo",1,0.152,957.403
"Colombia",0,0.885,6243.656
"Comoros",1,3.328,1770.218
"Cape Verde",1,2.367,4859.108
"Costa Rica",0,2.112,8621.291
"Cyprus",0,2.718,20318
"Czech Republic",0,0.884,15373.23
"Germany",0,0.597,25481.43
"Djibouti",1,2.432,1881.967
"Dominica",0,0.003,5931.715
"Denmark",0,0.189,28750.61
"Dominican Republic",0,1.641,6410.803
"Algeria",1,0.51,5417.91
"Ecuador",0,1.278,3373.415
"Egypt",1,0.723,3598.329
"Eritrea",1,2.481,911.884
"Spain",0,1.689,21764.83
"Estonia",0,0.123,9762.76
"Ethiopia",1,1.57,635.794
"Finland",0,0.328,25553.88
"Fiji",0,1.396,4949.898
"France",0,1.098,25698.01
"Gabon",1,0.218,6118.662
"United Kingdom of Great Britain and Northern Ireland",0,0.568,26332.05
"Georgia",0,3.659,1880.45
"Ghana",1,0.228,1892.808
"Guinea",1,0.74,1975.794
"Gambia",1,0.353,1728.198
"Guinea-Bissau",1,0.491,782.477
"Equatorial Guinea",1,0.559,15189.54
"Greece",0,3.103,17391.74
"Grenada",0,2.088,7536.395
"Guatemala",0,1.807,3974.407
"Guyana",0,0.273,4072.166
"Hong Kong Special Administrative Region of China",0,2.501,25795.83
"Honduras",0,2.15,2506.231
"Croatia",0,1.267,9545.475
"Haiti",0,2.362,1798.406
"Hungary",0,0.346,13223.63
"Indonesia",0,0.967,3028.274
"India",0,1.013,2415.093
"Ireland",0,0.513,30532.31
"Iran; Islamic Republic of",0,2.445,5826.672
"Iceland",0,1.472,28929.43
"Israel",0,1.705,23857.94
"Italy",0,2.458,24994.66
"Jamaica",0,1.788,3650.39
"Jordan",0,1.097,3846.694
"Japan",0,2.132,26219.79
"Kazakhstan",0,0.372,4594.435
"Kenya",1,0.669,1018.731
"Kyrgyzstan",0,4.287,1560
"Cambodia",0,0.54,1859.063
"Saint Kitts and Nevis",0,0.006,11224.7
"Republic of Korea",0,1.96,16172.41
"Kuwait",0,0.245,15958.92
"Lao People's Democratic Republic",0,2.553,1569.901
"Lebanon",0,4.197,4216.305
"Saint Lucia",0,2.147,5620.647
"Sri Lanka",0,0.65,3625.534
"Lesotho",1,6.202,2122.544
"Lithuania",0,0.175,8767.231
"Luxembourg",0,0.881,57792.09
"Latvia",0,0.154,7903.728
"Macao Special Administrative Region of China",0,0.732,18581.94
"Morocco",1,2.413,3513.834
"Republic of Moldova",0,0.799,1331.461
"Madagascar",1,1.169,825.244
"Mexico",0,1.732,9046.27
"The former Yugoslav Republic of Macedonia",0,2.665,6059.698
"Mali",1,0.147,779.597
"Malta",0,1.527,18255.73
"Mongolia",0,1.057,1620.436
"Mozambique",1,0.612,876.868
"Mauritania",1,0.115,1729.208
"Mauritius",1,0.949,9622.512
"Malawi",1,1.027,586.252
"Malaysia",0,1.009,8926.452
"Namibia",1,0.913,6057.856
"New Caledonia",0,1.586,22140
"Niger",1,0.178,703.141
"Nigeria",1,0.312,882.59
"Nicaragua",0,0.992,3277.64
"Netherlands",0,0.037,28610.12
"Norway",0,2.409,34207.82
"Nepal",0,5.043,1322.873
"New Zealand",0,2.038,19614.94
"Oman",0,1.109,12729.71
"Pakistan",0,1.949,1925.391
"Panama",0,1.54,6164.348
"Peru",0,1.347,4722.525
"Philippines",0,2.028,4027.548
"Papua New Guinea",0,1.589,2325.738
"Poland",0,0.297,10401.36
"Puerto Rico",0,1.447,22242.23
"Portugal",0,1.304,18255.28
"Paraguay",0,0.245,4553.069
"French Polynesia",0,2.072,24538.31
"Romania",0,1.267,5889.324
"Russian Federation",0,0.94,7095.689
"Rwanda",1,3.309,1039.172
"Saudi Arabia",0,0.914,12374.11
"Sudan",1,0.442,1682.674
"Senegal",1,0.244,1435.082
"Singapore",0,0.016,23611.61
"Solomon Islands",0,1.54,1862.47
"Sierra Leone",1,0.498,466.647
"El Salvador",0,1.75,4594.274
"Slovakia",0,1.56,11303.75
"Slovenia",0,2.496,16873.33
"Sweden",0,0.715,25899.88
"Swaziland",1,3.063,4681.445
"Seychelles",1,4.885,17957.47
"Syrian Arab Republic",0,0.756,3242.195
"Chad",1,0.419,821.15
"Togo",1,0.28,1436.855
"Thailand",0,1.051,6279.51
"Tajikistan",0,5.301,785.469
"Turkmenistan",0,0.284,3667.555
"Tonga",0,0.773,6568.724
"Trinidad and Tobago",0,0.603,8969.766
"Tunisia",1,0.726,6251.551
"Turkey",0,2.62,6510.354
"United Republic of Tanzania",1,0.677,521.827
"Uganda",1,0.913,1243.514
"Ukraine",0,0.416,4108.69
"Uruguay",0,0.435,8781.518
"United States of America",0,1.073,33970.17
"Uzbekistan",0,0.526,1515.708
"Saint Vincent and the Grenadines",0,3.071,5334.509
"Venezuela (Bolivarian Republic of)",0,0.634,5685.12
"Viet Nam",0,2.054,2011.743
"Vanuatu",0,1.729,3172.14
"Samoa",0,1.677,4860.269
"Yemen",0,2.323,787.749
"South Africa",1,1.761,9419.122
"Zambia",1,0.533,774.01
"Zimbabwe",1,1.194,2499.215
